No,Type,MDEA,DEA,MEA,PZ,Total,pH,Conductivity,Temperature,Corrosion rate
77,Rich,25,0,0,0,25,7.78,13.68,80,0.10954
78,Rich,20,0,5,0,25,7.86,12.81,80,0.15623
79,Rich,15,0,10,0,25,8.01,12.5,80,0.14943
80,Rich,30,0,0,0,30,7.83,13.41,80,0.10125
81,Rich,25,0,5,0,30,8.1,12.05,80,0.15458
82,Rich,20,0,10,0,30,8.09,11.46,80,0.14231
83,Rich,35,0,0,0,35,7.85,13.57,80,0.0832
84,Rich,30,0,5,0,35,8.34,11.94,80,0.14105
85,Rich,25,0,10,0,35,8.47,11.55,80,0.1345
86,Rich,20,0,15,0,35,8.48,10.66,80,0.12493
87,Rich,40,0,0,0,40,8.05,13.18,80,0.07464
88,Rich,35,0,5,0,40,8.52,11.2,80,0.12699
89,Rich,30,0,10,0,40,8.59,10.45,80,0.12196
90,Rich,25,0,15,0,40,8.87,8.78,80,0.10537
91,Rich,45,0,0,0,45,8.25,12.54,80,0.06282
92,Rich,40,0,5,0,45,8.78,9.61,80,0.09508
93,Rich,35,0,10,0,45,9.1,8.25,80,0.08861
94,Rich,30,0,15,0,45,9.34,7.89,80,0.07876
95,Rich,25,0,20,0,45,9.7,7.16,80,0.07195
96,Rich,25,0,0,0,25,7.93,13.95,80,0.11173
97,Rich,20,0,0,5,25,8.01,13.06,80,0.16006
98,Rich,15,0,0,10,25,8.25,12.87,80,0.15391
99,Rich,30,0,0,0,30,7.98,13.68,80,0.10328
100,Rich,25,0,0,5,30,8.34,12.41,80,0.15166
101,Rich,20,0,0,10,30,8.33,11.81,80,0.14658
102,Rich,35,0,0,0,35,8,13.85,80,0.08487
103,Rich,30,0,0,5,35,8.68,12.42,80,0.13928
104,Rich,25,0,0,10,35,8.64,11.78,80,0.13381
105,Rich,20,0,0,15,35,8.74,10.98,80,0.11308
106,Rich,40,0,0,0,40,8.29,13.57,80,0.07688
107,Rich,35,0,0,5,40,8.69,11.42,80,0.12424
108,Rich,30,0,0,10,40,8.76,10.66,80,0.11909
109,Rich,25,0,0,15,40,9.22,9.13,80,0.1016
110,Rich,45,0,0,0,45,8.58,13.04,80,0.06533
111,Rich,40,0,0,5,45,8.95,9.8,80,0.09698
112,Rich,35,0,0,10,45,9.28,8.42,80,0.09331
113,Rich,30,0,0,15,45,9.72,8.21,80,0.08726
114,Rich,25,0,0,20,45,10.09,7.44,80,0.0812
